Product Id,Price,MRP,Gender,Product Name,Status,Weight,thumbnail,Color,Material,Type,Sole Material,,,
31966934,1289,4299,Women,Adriana & Gabriella Yellow Women Sandals,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY2035626E5AC2F/10.jpg,Yellow,Synthetic Leather,Sandals,Resin Sheet,,,
31966935,1720,4299,Women,Adriana & Gabriella Yellow Women Sandals,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY2035647AACE4F/10.jpg,Yellow,Synthetic Leather,,Resin Sheet,,,
31966936,1289,4299,Women,Adriana & Gabriella Yellow Women Sandals,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356A5FE46A7/10.jpg,Yellow,Synthetic Leather,Sandals,Resin Sheet,,,
31966937,1720,4299,Women,Adriana & Gabriella Brown Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY2035626D9373/2.jpg,Brown,Patent Leather,,Resin Sheet,,,
31966938,1720,4299,Women,Adriana & Gabriella Brown Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356367D4DA4/2.jpg,Brown,Patent Leather,,Resin Sheet,,,
31966939,1289,4299,Women,Adriana & Gabriella Brown Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356C1F8A578/2.jpg,Brown,Patent Leather,Heels,Resin Sheet,,,
31966940,1289,4299,Women,Adriana & Gabriella Brown Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356F5E87BAF/2.jpg,Brown,Patent Leather,Heels,Resin Sheet,,,
31966941,1289,4299,Women,Adriana & Gabriella Brown Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356F187F3DE/2.jpg,Brown,Patent Leather,Heels,Resin Sheet,,,
31966942,1289,4299,Women,Adriana & Gabriella Brown Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356C5972D09/2.jpg,Brown,Patent Leather,Heels,Resin Sheet,,,
31966943,1800,4499,Women,Adriana & Gabriella Maroon Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY203569BD3FA55/2.jpg,Maroon,Patent Leather,,Resin Sheet,,,
31966944,1800,4499,Women,Adriana & Gabriella Maroon Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356420438EF/2.jpg,Maroon,Patent Leather,,Resin Sheet,,,
31966945,1349,4499,Women,Adriana & Gabriella Maroon Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY203565ABB759F/2.jpg,Maroon,Patent Leather,Heels,Resin Sheet,,,
31966946,1349,4499,Women,Adriana & Gabriella Maroon Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356836CB725/2.jpg,Maroon,Patent Leather,Heels,Resin Sheet,,,
31966947,1349,4499,Women,Adriana & Gabriella Maroon Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356F2B0DDBA/2.jpg,Maroon,Patent Leather,Heels,Resin Sheet,,,
31966948,1800,4499,Women,Adriana & Gabriella Maroon Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY203562B671F00/2.jpg,Maroon,Patent Leather,,Resin Sheet,,,
31966952,1720,4299,Women,Adriana & Gabriella Purple Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY2035670F0B250/2.jpg,Purple,Synthetic Leather,,Resin Sheet,,,
31966953,1289,4299,Women,Adriana & Gabriella Purple Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY2035696F96C07/2.jpg,Purple,Synthetic Leather,Heels,Resin Sheet,,,
31966954,1289,4299,Women,Adriana & Gabriella Purple Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY2035614DD96DD/2.jpg,Purple,Synthetic Leather,Heels,Resin Sheet,,,
31966955,1289,4299,Women,Adriana & Gabriella Purple Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356F2D4488A/2.jpg,Purple,Synthetic Leather,Heels,Resin Sheet,,,
31966956,1289,4299,Women,Adriana & Gabriella Purple Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356ED59171D/2.jpg,Purple,Synthetic Leather,Heels,Resin Sheet,,,
31966957,1289,4299,Women,Adriana & Gabriella Purple Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356B50C94A/2.jpg,Purple,Synthetic Leather,Heels,Resin Sheet,,,
31966958,1199,3999,Women,Adriana & Gabriella White Women Sandals,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356B955812B/2.jpg,White,Synthetic Leather,Sandals,Rubber,,,
31966959,1199,3999,Women,Adriana & Gabriella White Women Sandals,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356B0559AD5/2.jpg,White,Synthetic Leather,Sandals,Rubber,,,
31966960,1600,3999,Women,Adriana & Gabriella White Women Sandals,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356C75506DF/2.jpg,White,Synthetic Leather,,Rubber,,,
31966961,1199,3999,Women,Adriana & Gabriella White Women Sandals,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356CE551D21/2.jpg,White,Synthetic Leather,Sandals,Rubber,,,
31966962,1600,3999,Women,Adriana & Gabriella White Women Sandals,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356D202C26E/2.jpg,White,Synthetic Leather,,Rubber,,,
31966963,1199,3999,Women,Adriana & Gabriella White Women Sandals,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356DB02D990/2.jpg,White,Synthetic Leather,Sandals,Rubber,,,
31966964,1720,4299,Women,Adriana & Gabriella Pink Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356A28CB174/2.jpg,Pink,Synthetic Leather,,Resin Sheet,,,
31966965,1289,4299,Women,Adriana & Gabriella Pink Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356D413E70A/2.jpg,Pink,Synthetic Leather,Heels,Resin Sheet,,,
31966966,1289,4299,Women,Adriana & Gabriella Pink Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY203564CA6FD43/2.jpg,Pink,Synthetic Leather,Heels,Resin Sheet,,,
31966967,1289,4299,Women,Adriana & Gabriella Pink Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY203563A39AB3D/2.jpg,Pink,Synthetic Leather,Heels,Resin Sheet,,,
31966968,1289,4299,Women,Adriana & Gabriella Pink Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356FF2F06B0/2.jpg,Pink,Synthetic Leather,Heels,Resin Sheet,,,
31966969,1289,4299,Women,Adriana & Gabriella Pink Heels,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY2035689B050CE/2.jpg,Pink,Synthetic Leather,Heels,Resin Sheet,,,
31966973,1289,4299,Women,Adriana & Gabriella Grey Wedges,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356A8DAF21A/2.jpg,Grey,Patent Leather,Wedges,Resin Sheet,,,
31966974,1289,4299,Women,Adriana & Gabriella Grey Wedges,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356A1DAE9E4/2.jpg,Grey,Patent Leather,Wedges,Resin Sheet,,,
31966975,1289,4299,Women,Adriana & Gabriella Grey Wedges,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356D6DA75EE/2.jpg,Grey,Patent Leather,Wedges,Resin Sheet,,,
31966976,1289,4299,Women,Adriana & Gabriella Grey Wedges,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356DFDA6E10/2.jpg,Grey,Patent Leather,Wedges,Resin Sheet,,,
